"","","26.49%","","1.27%","Nov 2023","Dec 2023","","Feb","","","","","","","Sep","","","","","","LINK TO AUDIT HERE 2024","","","","","","","","","",""
"12/12/2024","$4,550,000","-1.64%","604.33","526.5","32.15%","27.14%","28.57%","","-1.90%","-1.64%","","","","","","","","","$0","","","","$4,550,000","$4,748,000","-4.35%","6","","-0.52%","","",""
"12/13/2024","$4,573,000","0.51%","604.21","530.53","32.82%","27.12%","29.55%","","-1.40%","","-2.35%","","","","","","","","$0","","","","$4,573,000","$4,748,000","-3.83%","7","","-0.02%","","",""
"12/16/2024","$4,536,000","-0.81%","606.79","538.17","31.74%","27.66%","31.41%","","-2.20%","-0.81%","","","","","","","","","$0","","","","$4,536,000","$4,748,000","-4.67%","8","","0.43%","","",""
"12/17/2024","$4,480,000","-0.79%","604.29","535.8","30.70%","27.14%","30.84%","","-2.98%","-0.79%","","","","","","","","","-$20,000","","","","$4,480,000","$4,728,000","-5.54%","9","","-0.41%","","",""
"12/18/2024","$4,562,000","1.83%","586.28","516.47","33.09%","23.35%","26.12%","","-1.20%","","","","","","","","","","$0","","","","$4,562,000","$4,728,000","-3.64%","10","","-2.98%","","",""
"12/19/2024","$4,503,000","-1.29%","586.1","514.17","31.37%","23.31%","25.55%","","-2.48%","-1.29%","","","","","","","","","$0","","","","$4,503,000","$4,728,000","-5.00%","11","","-0.03%","","",""
"12/20/2024","$4,486,000","-0.38%","591.15","518.66","30.87%","24.37%","26.65%","","-2.85%","","-1.44%","","","","","","","","$0","","","","$4,486,000","$4,728,000","-5.39%","12","","0.86%","","",""
"12/23/2024","$4,476,000","-0.22%","594.69","522.87","30.58%","25.12%","27.68%","","-3.06%","-0.22%","","","","","","","","","$0","","","","$4,476,000","$4,728,000","-5.63%","13","","0.60%","","",""
"12/24/2024","$4,518,000","0.94%","601.3","529.96","31.80%","26.51%","29.41%","","-2.15%","","","","","","","","","","$0","","","","$4,518,000","$4,728,000","-4.65%","14","","1.11%","","",""
"12/26/2024","$4,556,000","0.84%","601.34","529.6","32.91%","26.52%","29.32%","","-1.33%","","","","","","","","","","$0","","","","$4,556,000","$4,728,000","-3.78%","15","","0.01%","","",""
"12/27/2024","$4,561,000","0.11%","595.01","522.56","33.06%","25.18%","27.60%","","-1.22%","","1.29%","","","","","","","","$0","","","","$4,561,000","$4,728,000","-3.66%","16","","-1.05%","","",""
"12/30/2024","$4,475,000","-1.89%","588.22","515.61","30.55%","23.76%","25.91%","","-3.08%","-1.89%","","","","","","","","","$0","","","","$4,475,000","$4,728,000","-5.65%","17","","-1.14%","","",""
"12/31/2024","$4,851,000","0.58%","586.08","511.23","31.31%","23.30%","24.84%","December","-2.52%","","","-2.52%","-2.73%","0.29%","Q4","0.48%","2.15%","4.75%","$350,000","-$217,000","","","$4,851,000","$5,078,000","-4.68%","18","","-0.36%","","",""
