"","","32.44%","","","","","","Apr","","","","","","","Nov","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","76.54%","","","6.01%","0.68%","5.77%","10.78%","4.19%","-2.20%","2.96%","2.03%","2.34%","1.75%","0.66%","0.67%","","38.80%","32.44%","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","5.16%","0.27%","5.57%","8.73%","4.63%","-4.00%","2.64%","1.71%","2.01%","1.42%","0.43%","0.44%","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","2.69%","-1.27%","-4.18%","-0.20%","6.15%","4.96%","1.31%","1.91%","3.28%","2.04%","0.25%","-0.22%","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.53","","","","","","","","","","","","",""
"","","","","","","","","Month","","","","","","","Q","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","$18,109,000","","","","","","","","","","","","","","","","","","","","","Perfect 40% Return 90 Degrees",""
"12/31/2024","$4,851,000","0.00%","586.08","511.23","0.00%","0.00%","0.00%","","","","","","","","","","","","","","","","$4,851,000","$4,851,000","0.00%","","","17.35","","","","","","","","","0.00%","","0.16%","",""
"1/2/2025","$5,389,000","0.29%","584.64","510.23","0.29%","-0.25%","-0.20%","","0.29%","","","","","","","","","","$524,000","","","","$5,389,000","$5,389,000","0.00%","","1.25%","17.93","","","","","","","","","-0.96%","","0.32%","",""
"1/3/2025","$5,480,000","1.69%","591.95","518.58","1.98%","1.00%","1.44%","","1.98%","","1.98%","","","","","","","","","","","","$5,480,000","$5,480,000","0.00%","","0.58%","16.13","","","","","","","","","1.11%","","0.48%","",""
"1/6/2025","$5,508,000","0.51%","595.36","524.54","2.50%","1.58%","2.60%","","2.50%","","","","","","","","","","","","","","$5,508,000","$5,508,000","0.00%","","-1.13%","16.04","","","","","","","","","1.64%","","0.64%","",""
"1/7/2025","$5,487,000","-0.38%","588.63","515.18","2.11%","0.44%","0.77%","","2.11%","-0.38%","","","","","","","","","","","","","$5,487,000","$5,508,000","-0.38%","","0.15%","17.82","","","","","","","","","-0.53%","","0.80%","",""
"1/8/2025","$5,482,000","-0.09%","589.49","515.27","2.02%","0.58%","0.79%","","2.02%","-0.09%","","","","","","","","","","","","","$5,482,000","$5,508,000","-0.47%","","-1.53%","17.7","","","","","","","","","1.44%","","0.96%","",""
"1/9/2025","$5,482,000","0.00%","580.49","507.19","2.02%","-0.95%","-0.79%","","2.02%","","","","","","","","","","","","","","$5,482,000","$5,508,000","-0.47%","","0.00%","19.54","","","","","","","","","0.00%","","1.12%","",""
"1/10/2025","$5,505,000","0.42%","580.49","507.19","2.45%","-0.95%","-0.79%","","2.45%","","0.46%","","","","","","","","","","","","$5,505,000","$5,508,000","-0.05%","4","0.16%","19.54","","","","","","","","","0.26%","","1.28%","",""
"1/13/2025","$5,582,000","1.40%","581.39","505.56","3.88%","-0.80%","-1.11%","","3.88%","","","","","","","","","","","","","","$5,582,000","$5,582,000","0.00%","","0.14%","19.19","","","","","","","","","1.26%","","1.44%","",""
"1/14/2025","$5,518,000","-1.15%","582.19","505.08","2.69%","-0.66%","-1.20%","","2.69%","-1.15%","","","","","","","","","","","","","$5,518,000","$5,582,000","-1.16%","1","1.82%","18.71","","","","","","","","","-2.97%","","1.60%","",""
"1/15/2025","$5,606,000","1.59%","592.78","516.7","4.33%","1.14%","1.07%","","4.33%","","","","","","","","","","","","","","$5,606,000","$5,606,000","0.00%","","-0.19%","16.12","","","","","","","","","1.79%","","1.76%","",""
"1/16/2025","$5,581,000","-0.45%","591.64","513.08","3.86%","0.95%","0.36%","","3.86%","-0.45%","","","","","","","","","","","","","$5,581,000","$5,606,000","-0.45%","1","1.00%","16.6","","","","","","","","","-1.45%","","1.92%","",""
"1/17/2025","$5,715,000","2.40%","597.58","521.74","6.36%","1.96%","2.06%","","6.36%","","3.80%","","","","","","","","","","","","$5,715,000","$5,715,000","0.00%","","0.92%","15.97","","","","","","","","","1.49%","","2.08%","",""
"1/21/2025","$5,821,000","1.85%","603.05","524.8","8.33%","2.90%","2.65%","","8.33%","","","","","","","","","","","","","","$5,821,000","$5,821,000","0.00%","","0.56%","15.06","","","","","","","","","1.29%","","2.24%","",""
"1/22/2025","$5,894,000","1.25%","606.44","531.51","9.69%","3.47%","3.97%","","9.69%","","","","","","","","","","","","","","$5,894,000","$5,894,000","0.00%","","0.55%","15.1","","","","","","","","","0.71%","","2.40%","",""
"1/23/2025","$5,903,000","0.15%","609.75","532.64","9.85%","4.04%","4.19%","","9.85%","","","","","","","","","","","","","","$5,903,000","$5,903,000","0.00%","","-0.29%","15.02","","","","","","","","","0.44%","","2.56%","",""
"1/24/2025","$5,957,000","0.91%","607.97","529.63","10.86%","3.73%","3.60%","","10.86%","","","","","","","","","","","","","","$5,957,000","$5,957,000","0.00%","","-1.41%","14.85","","","","","","","","","2.33%","","2.72%","",""
"1/27/2025","$5,806,000","-2.53%","599.37","514.21","8.05%","2.27%","0.58%","","8.05%","-2.53%","1.64%","","","","","","","","","","","","$5,806,000","$5,957,000","-2.60%","","0.86%","17.9","","","","","","","","","-3.39%","","2.88%","",""
"1/28/2025","$5,863,000","0.98%","604.52","521.81","9.11%","3.15%","2.07%","","9.11%","","","","","","","","","","","","","","$5,863,000","$5,957,000","-1.60%","","-0.45%","16.41","","","","","","","","","1.43%","","3.04%","",""
"1/29/2025","$5,855,000","-0.14%","601.81","520.83","8.96%","2.68%","1.88%","","8.96%","-0.14%","","","","","","","","","","","","","$5,855,000","$5,957,000","-1.74%","","0.54%","16.56","","","","","","","","","-0.67%","","3.20%","",""
"1/30/2025","$5,719,000","-2.32%","605.04","523.05","6.43%","3.24%","2.31%","","6.43%","-2.32%","","","","","","","","","","","","","$5,719,000","$5,957,000","-4.16%","","-0.53%","15.84","","","","","","","","","-1.79%","","3.36%","",""
"1/31/2025","$5,701,000","-0.31%","601.82","522.29","6.09%","2.69%","2.16%","January","6.09%","-0.31%","-4.33%","6.09%","2.69%","2.16%","","","","","","$326,000","","","$5,701,000","$5,957,000","-4.49%","","-0.67%","16.43","","","","","","","","","0.36%","","3.52%","",""
"2/3/2025","$7,126,000","0.61%","597.77","518.11","6.75%","1.99%","1.35%","","0.61%","","","","","","","","","","$1,390,000","","","","$7,126,000","$7,347,000","-3.10%","","0.67%","18.62","","","","","","","","","-0.06%","","3.68%","",""
"2/4/2025","$7,454,000","1.09%","601.78","524.47","7.91%","2.68%","2.59%","","1.72%","","","","","","","","","","$250,000","","","","$7,454,000","$7,597,000","-1.92%","","0.41%","17.21","","","","","","","","","0.69%","","3.84%","",""
"2/5/2025","$7,526,000","0.97%","604.22","526.85","8.96%","3.10%","3.06%","","2.70%","","","","","","","","","","","","","","$7,526,000","$7,597,000","-0.94%","","0.35%","15.77","","","","","","","","","0.62%","","4.00%","",""
"2/6/2025","$7,495,000","-0.41%","606.32","529.6","8.51%","3.45%","3.59%","","2.27%","-0.41%","","","","","","","","","","","","","$7,495,000","$7,597,000","-1.36%","","-0.92%","15.5","","","","","","","","","0.50%","","4.16%","",""
"2/7/2025","$7,516,000","0.28%","600.77","522.92","8.81%","2.51%","2.29%","","2.56%","","2.54%","","","","","","","","","","","","$7,516,000","$7,597,000","-1.08%","","0.68%","16.54","","","","","","","","","-0.40%","","4.32%","",""
"2/10/2025","$7,572,000","0.75%","604.85","529.25","9.62%","3.20%","3.52%","","3.33%","","","","","","","","","","","","","","$7,572,000","$7,597,000","-0.33%","11","0.08%","15.81","","","","","","","","","0.67%","","4.48%","",""
"2/11/2025","$7,605,000","0.44%","605.31","527.99","10.10%","3.28%","3.28%","","3.78%","","","","","","","","","","","","","","$7,605,000","$7,605,000","0.00%","","-0.32%","16.02","","","","","","","","","0.76%","","4.64%","",""
"2/12/2025","$7,514,000","-1.20%","603.36","528.3","8.78%","2.95%","3.34%","","2.53%","-1.20%","","","","","","","","","","","","","$7,514,000","$7,605,000","-1.21%","","1.06%","15.89","","","","","","","","","-2.25%","","4.80%","",""
"2/13/2025","$7,547,000","0.44%","609.73","535.9","9.26%","4.04%","4.83%","","2.98%","","","","","","","","","","","","","","$7,547,000","$7,605,000","-0.77%","","0.00%","15.1","","","","","","","","","0.44%","","4.96%","",""
