date,open,high,low,close,prior_close
2019-01-02,6506.9102,6693.7100,6506.8799,6665.9399,
2019-01-03,6584.7700,6600.2100,6457.1299,6463.5000,6665.9399
2019-01-04,6567.1401,6760.6899,6554.2402,6738.8599,6463.5000
2019-01-07,6757.5298,6855.6001,6741.3999,6823.4702,6738.8599
2019-01-08,6893.4399,6909.5801,6795.8599,6897.0000,6823.4702
2019-01-09,6923.0601,6985.2202,6899.5601,6957.0801,6897.0000
2019-01-10,6908.6499,6991.3701,6877.0801,6986.0698,6957.0801
2019-01-11,6947.4600,6975.6499,6933.6001,6971.4800,6986.0698
2019-01-14,6908.0298,6936.2202,6887.4800,6905.9199,6971.4800
2019-01-15,6931.3901,7025.8501,6928.1201,7023.8301,6905.9199
2019-01-16,7033.7500,7079.6299,7028.1201,7034.6899,7023.8301
2019-01-17,7010.1299,7113.9502,7003.6201,7084.4600,7034.6899
2019-01-18,7134.1001,7185.3799,7096.6201,7157.2300,7084.4600
2019-01-22,7109.5698,7110.1602,6979.8101,7020.3599,7157.2300
2019-01-23,7061.6499,7084.8501,6953.2300,7025.7700,7020.3599
2019-01-24,7042.2500,7078.9600,7029.9502,7073.4600,7025.7700
2019-01-25,7128.1802,7174.5601,7111.0898,7164.8599,7073.4600
2019-01-28,7075.0098,7086.2998,7034.2500,7085.6802,7164.8599
2019-01-29,7087.4902,7092.2900,7011.4702,7028.2900,7085.6802
2019-01-30,7094.7900,7201.3101,7065.5698,7183.0801,7028.2900
2019-01-31,7208.1699,7303.1201,7205.9502,7281.7402,7183.0801
2019-02-01,7256.3701,7299.9399,7243.4102,7263.8701,7281.7402
2019-02-04,7266.2798,7348.2300,7261.0698,7347.5400,7263.8701
2019-02-05,7356.3398,7408.6802,7355.3599,7402.0801,7347.5400
2019-02-06,7400.4399,7410.7700,7346.7202,7375.2798,7402.0801
2019-02-07,7316.5000,7336.7402,7235.0498,7288.3501,7375.2798
2019-02-08,7232.2998,7299.4399,7225.1401,7298.2002,7288.3501
2019-02-11,7327.3701,7343.5601,7290.0298,7307.8999,7298.2002
2019-02-12,7358.8501,7419.4302,7349.7998,7414.6201,7307.8999
2019-02-13,7437.4600,7461.6602,7413.8398,7420.3799,7414.6201
2019-02-14,7390.2500,7454.4199,7375.7100,7426.9502,7420.3799
2019-02-15,7468.5698,7477.2798,7440.2598,7472.4102,7426.9502
2019-02-19,7450.7500,7507.7900,7450.2700,7486.7700,7472.4102
2019-02-20,7490.3101,7513.7002,7455.2500,7489.0698,7486.7700
2019-02-21,7475.4102,7485.7500,7430.8901,7459.7100,7489.0698
2019-02-22,7481.6299,7527.5400,7479.0098,7527.5400,7459.7100
2019-02-25,7585.2998,7602.6899,7551.6099,7554.4600,7527.5400
2019-02-26,7535.2900,7573.2202,7524.3101,7549.2998,7554.4600
2019-02-27,7526.4199,7562.2900,7485.3901,7554.5098,7549.2998
2019-02-28,7533.3101,7561.8999,7516.4800,7532.5298,7554.5098
2019-03-01,7587.4502,7603.0400,7540.7500,7595.3501,7532.5298
2019-03-04,7636.6201,7643.6602,7501.5601,7577.5698,7595.3501
2019-03-05,7582.2900,7598.6602,7543.5400,7576.3599,7577.5698
2019-03-06,7575.3799,7579.0200,7499.8701,7505.9199,7576.3599
2019-03-07,7483.7900,7489.0801,7397.1899,7421.4600,7505.9199
2019-03-08,7334.3501,7411.5200,7332.9199,7408.1401,7421.4600
2019-03-11,7442.5601,7558.2300,7442.3999,7558.0601,7408.1401
2019-03-12,7571.8501,7611.1299,7560.4600,7591.0298,7558.0601
2019-03-13,7621.3799,7677.0698,7619.4600,7643.4102,7591.0298
2019-03-14,7644.7900,7653.1001,7627.0200,7630.9102,7643.4102
2019-03-15,7658.4102,7714.9600,7652.0400,7688.5298,7630.9102
2019-03-18,7696.3799,7737.6699,7677.7402,7714.4800,7688.5298
2019-03-19,7747.3999,7767.8901,7699.1499,7723.9502,7714.4800
2019-03-20,7721.9502,7779.2402,7674.0400,7728.9702,7723.9502
2019-03-21,7705.4302,7850.1099,7705.4302,7838.9600,7728.9702
2019-03-22,7800.2500,7817.8301,7642.5698,7642.6699,7838.9600
2019-03-25,7618.9800,7662.3799,7579.2900,7637.5400,7642.6699
2019-03-26,7700.0000,7738.1699,7649.2100,7691.5200,7637.5400
2019-03-27,7702.0498,7712.8398,7582.0898,7643.3799,7691.5200
