date,open,high,low,close,prior_close
2019-01-02,2476.9600,2519.4900,2467.4700,2510.0300,
2019-01-03,2491.9199,2493.1399,2443.9600,2447.8899,2510.0300
2019-01-04,2474.3301,2538.0701,2474.3301,2531.9399,2447.8899
2019-01-07,2535.6101,2566.1599,2524.5601,2549.6899,2531.9399
2019-01-08,2568.1101,2579.8201,2547.5601,2574.4099,2549.6899
2019-01-09,2580.0000,2595.3201,2568.8899,2584.9600,2574.4099
2019-01-10,2573.5100,2597.8201,2562.0200,2596.6399,2584.9600
2019-01-11,2588.1101,2596.2700,2577.3999,2596.2600,2596.6399
2019-01-14,2580.3101,2589.3201,2570.4099,2582.6101,2596.2600
2019-01-15,2585.1001,2613.0801,2585.1001,2610.3000,2582.6101
2019-01-16,2614.7500,2625.7600,2612.6799,2616.1001,2610.3000
2019-01-17,2609.2800,2645.0601,2606.3601,2635.9600,2616.1001
2019-01-18,2651.2700,2675.4700,2647.5801,2670.7100,2635.9600
2019-01-22,2657.8799,2657.8799,2617.2700,2632.8999,2670.7100
2019-01-23,2643.4800,2653.1899,2612.8601,2638.7000,2632.8999
2019-01-24,2638.8401,2647.2000,2627.0100,2642.3301,2638.7000
2019-01-25,2657.4399,2672.3799,2657.3301,2664.7600,2642.3301
2019-01-28,2644.9700,2644.9700,2624.0601,2643.8501,2664.7600
2019-01-29,2644.8899,2650.9299,2631.0500,2640.0000,2643.8501
2019-01-30,2653.6201,2690.4399,2648.3401,2681.0500,2640.0000
2019-01-31,2685.4900,2708.9500,2678.6499,2704.1001,2681.0500
2019-02-01,2702.3201,2716.6599,2696.8799,2706.5300,2704.1001
2019-02-04,2706.4900,2724.9900,2698.7500,2724.8701,2706.5300
2019-02-05,2728.3401,2738.9800,2724.0300,2737.7000,2724.8701
2019-02-06,2735.0500,2738.0801,2724.1499,2731.6101,2737.7000
2019-02-07,2717.5300,2719.3201,2687.2600,2706.0500,2731.6101
2019-02-08,2692.3601,2708.0701,2681.8301,2707.8799,2706.0500
2019-02-11,2712.3999,2718.0500,2703.7900,2709.8000,2707.8799
2019-02-12,2722.6101,2748.1899,2722.6101,2744.7300,2709.8000
2019-02-13,2750.3000,2761.8501,2748.6299,2753.0300,2744.7300
2019-02-14,2743.5000,2757.8999,2731.2300,2745.7300,2753.0300
2019-02-15,2760.2400,2775.6599,2760.2400,2775.6001,2745.7300
2019-02-19,2769.2800,2787.3301,2767.2900,2779.7600,2775.6001
2019-02-20,2779.0500,2789.8799,2774.0601,2784.7000,2779.7600
2019-02-21,2780.2400,2781.5801,2764.5500,2774.8799,2784.7000
2019-02-22,2780.6699,2794.2000,2779.1101,2792.6699,2774.8799
2019-02-25,2804.3501,2813.4900,2794.9900,2796.1101,2792.6699
2019-02-26,2792.3601,2803.1201,2789.4700,2793.8999,2796.1101
2019-02-27,2787.5000,2795.7600,2775.1299,2792.3799,2793.8999
2019-02-28,2788.1101,2793.7300,2782.5100,2784.4900,2792.3799
2019-03-01,2798.2200,2808.0200,2787.3799,2803.6899,2784.4900
2019-03-04,2814.3701,2816.8799,2767.6599,2792.8101,2803.6899
2019-03-05,2794.4099,2796.4399,2782.9700,2789.6499,2792.8101
2019-03-06,2790.2700,2790.2700,2768.6899,2771.4500,2789.6499
2019-03-07,2766.5300,2767.2500,2739.0901,2748.9299,2771.4500
2019-03-08,2730.7900,2744.1299,2722.2700,2743.0701,2748.9299
2019-03-11,2747.6101,2784.0000,2747.6101,2783.3000,2743.0701
2019-03-12,2787.3401,2798.3201,2786.7300,2791.5200,2783.3000
2019-03-13,2799.7800,2821.2400,2799.7800,2810.9199,2791.5200
2019-03-14,2810.3799,2815.0000,2803.4600,2808.4800,2810.9199
2019-03-15,2810.7900,2830.7300,2810.7900,2822.4800,2808.4800
2019-03-18,2822.6101,2835.4099,2821.9900,2832.9399,2822.4800
2019-03-19,2840.7600,2852.4199,2823.2700,2832.5701,2832.9399
2019-03-20,2831.3401,2843.5400,2812.4299,2824.2300,2832.5701
2019-03-21,2819.7200,2860.3101,2817.3799,2854.8799,2824.2300
2019-03-22,2844.5200,2846.1599,2800.4700,2800.7100,2854.8799
2019-03-25,2796.0100,2809.7900,2785.0200,2798.3601,2800.7100
2019-03-26,2812.6599,2829.8701,2803.9900,2818.4600,2798.3601
2019-03-27,2819.7200,2825.5601,2787.7200,2805.3701,2818.4600
2019-03-28,2809.3999,2819.7100,2798.7700,2815.4399,2805.3701
2019-03-29,2828.2700,2836.0300,2819.2300,2834.3999,2815.4399
2019-04-01,2848.6299,2869.3999,2848.6299,2867.1899,2834.3999
2019-04-02,2868.2400,2872.8999,2858.7500,2867.2400,2867.1899
2019-04-03,2876.0901,2885.2500,2865.1699,2873.3999,2867.2400
2019-04-04,2873.9900,2881.2800,2867.1399,2879.3899,2873.3999
2019-04-05,2884.1599,2893.2400,2882.9900,2892.7400,2879.3899
2019-04-08,2888.4600,2895.9500,2880.7800,2895.7700,2892.7400
2019-04-09,2886.5801,2886.8799,2873.3301,2878.2000,2895.7700
2019-04-10,2881.3701,2889.7100,2879.1299,2888.2100,2878.2000
2019-04-11,2891.9199,2893.4199,2881.9900,2888.3201,2888.2100
2019-04-12,2900.8601,2910.5400,2898.3701,2907.4099,2888.3201
2019-04-15,2908.3201,2909.6001,2896.4800,2905.5801,2907.4099
2019-04-16,2912.2600,2916.0601,2900.7100,2907.0601,2905.5801
2019-04-17,2916.0400,2918.0000,2895.4500,2900.4500,2907.0601
2019-04-18,2904.8101,2908.3999,2891.8999,2905.0300,2900.4500
2019-04-22,2898.7800,2909.5100,2896.3501,2907.9700,2905.0300
2019-04-23,2909.9900,2936.3101,2908.5300,2933.6799,2907.9700
2019-04-24,2934.0000,2936.8301,2926.0500,2927.2500,2933.6799
2019-04-25,2928.9900,2933.1001,2912.8401,2926.1699,2927.2500
2019-04-26,2925.8101,2939.8799,2917.5601,2939.8799,2926.1699
2019-04-29,2940.5801,2949.5200,2939.3501,2943.0300,2939.8799
2019-04-30,2937.1399,2948.2200,2924.1101,2945.8301,2943.0300
2019-05-01,2952.3301,2954.1299,2923.3601,2923.7300,2945.8301
2019-05-02,2922.1599,2931.6799,2900.5000,2917.5200,2923.7300
2019-05-03,2929.2100,2947.8501,2929.2100,2945.6399,2917.5200
2019-05-06,2908.8899,2937.3201,2898.2100,2932.4700,2945.6399
2019-05-07,2913.0300,2913.0300,2862.6001,2884.0500,2932.4700
2019-05-08,2879.6101,2897.9600,2873.2800,2879.4199,2884.0500
2019-05-09,2859.8401,2875.9700,2836.3999,2870.7200,2879.4199
2019-05-10,2863.1001,2891.3101,2825.3899,2881.3999,2870.7200
2019-05-13,2840.1899,2840.1899,2801.4299,2811.8701,2881.3999
2019-05-14,2820.1201,2852.5400,2820.1201,2834.4099,2811.8701
